Filename,emotion_tone_Anger_normalized_score,emotion_tone_Anger_word_count,emotion_tone_Cheerfulness_normalized_score,emotion_tone_Cheerfulness_word_count,emotion_tone_Negative_normalized_score,emotion_tone_Negative_word_count,social_tone_Agreeableness_Big5_normalized_score,social_tone_Agreeableness_Big5_word_count,social_tone_Conscientiousness_Big5_normalized_score,social_tone_Conscientiousness_Big5_word_count,social_tone_Openness_Big5_normalized_score,social_tone_Openness_Big5_word_count,writing_tone_Analytical_normalized_score,writing_tone_Analytical_word_count,writing_tone_Confident_normalized_score,writing_tone_Confident_word_count,writing_tone_Tentative_normalized_score,writing_tone_Tentative_word_count
d_hilton_1.txt,0.956234437,1,0.415376915,5,0.878735294,4,0.978009278,121,0.336670924,88,0.017786653,191,0.832911627,15,1,8,0.31387468,4
d_hilton_10.txt,0,0,0.153339458,1,0,0,0.803262083,32,0.08184352,18,0.300244018,49,0.26123902,2,0.942640693,1,0.937597403,6
d_hilton_11.txt,0,0,0.116632653,2,0.76,2,0.95354173,94,0.550474365,48,0.044159992,142,0.566790353,7,0,0,0.16,2
d_hilton_12.txt,1,1,0,0,1,5,0.58256461,60,0.01967528,54,0.012200652,100,0.767047096,8,1,3,0.861918367,6
d_hilton_13.txt,1,3,0.472680655,3,1,7,0.983926108,107,0.149400657,67,0.006825982,146,0.345793269,6,0.966722408,3,0.637481971,5
d_hilton_14.txt,0.95808196,1,0,0,0.801490376,2,1,137,0.125515044,76,0.00520365,200,0.843030744,16,0.411785268,1,0.184283013,3
d_hilton_15.txt,1,7,0.356303146,10,0.98257077,16,0.982506965,375,0.05165804,260,0.01501195,561,0.932885292,58,0.418401361,3,0.745285714,24
d_hilton_16.txt,1,1,0.552090968,2,1,4,0.832054969,63,0.05225388,38,0.036492095,98,0.546633333,5,0.802834286,1,0.76488,4
d_hilton_17.txt,0,0,0,0,1,3,0.976107628,54,0.152788392,41,0.057486638,83,0.765513417,6,0,0,0.885912145,5
d_hilton_18.txt,1,2,0.609199085,2,1,4,0.913140042,61,0.00484866,43,0.039244847,85,1,11,0.983649816,2,0.420726343,2
d_hilton_19.txt,0,0,0,0,1,6,0.704520058,54,0.01643863,35,0.015267848,77,0.508301887,4,0.987436521,2,0.848539084,4
d_hilton_2.txt,0,0,0.658655431,3,0,0,0.953090926,74,0.102520216,57,0.008994394,111,1,16,0.952582809,2,0.47,3
d_hilton_20.txt,1,1,0.071915994,1,1,3,0.076281745,36,0.192917143,36,0.968395436,76,0.753278146,8,0.71194702,1,0.684600086,4
d_hilton_3.txt,1,1,0.412553001,3,0.756632826,2,0.980411501,98,0.089833726,61,0.007690488,144,0.458225408,7,0,0,0.672598293,5
d_hilton_4.txt,0,0,0.896173996,6,0,0,0.634429685,45,0.072886036,40,0.12998029,82,0.912615546,9,0,0,0.857142857,5
d_hilton_5.txt,0,0,0.19738806,1,0.881757123,2,0.983762615,63,0.147566846,46,0.039377844,107,0.241019509,2,1,4,0.581360297,3
d_hilton_6.txt,0.97630303,1,0.513380132,4,0.983866778,5,0.803474075,104,0.508596453,74,0.037007503,164,0.527133165,9,0.474211503,1,0.74,7
d_hilton_7.txt,0.988071559,2,0.484278729,8,0.968380122,9,0.912890545,197,0.06019978,138,0.007956854,305,0.76091988,21,0.98294103,7,0.763480033,13
d_hilton_8.txt,1,1,0.475271976,3,1,3,0.984602284,74,0.440378199,46,0.029562435,102,0.348731884,4,0.967177064,2,0.875458937,6
d_hilton_9.txt,0.96,1,0.816798982,7,0.973088958,5,0.983534029,143,0.661961417,87,0.015322544,201,0.306954564,6,0.987990555,5,0.595626816,6
d_james_1.txt,0,0,0.401576167,9,0.707839517,4,0.980975132,303,0.131194448,173,0.016761512,431,0.7667,26,0.568096491,3,0.593660358,13
d_james_10.txt,0,0,0.45,4,1,5,1,114,0.150633846,71,0.005253164,165,0.576125618,9,0.864342508,2,0.76559633,7
d_james_11.txt,0,0,0.448840921,3,0.968070965,2,0.982894456,92,0.079127716,59,0.006004336,139,0.84707882,11,0.932335165,2,0.570234998,4
d_james_12.txt,1,3,0.826810187,12,0.981339743,7,0.952853491,161,0.088182762,117,0.016625329,253,0.914861953,24,0.989053869,7,0.276102161,5
d_james_13.txt,0,0,0.0698859,1,0.610202088,1,0.577803903,61,0.292814157,51,0.145686694,103,0.627255356,7,0.988052899,3,0.76388535,5
d_james_14.txt,0,0,0.715495798,5,0,0,0.749343931,67,0.000858595,54,0.036939256,113,0.934884013,13,0.946721763,2,0.836887586,6
d_james_15.txt,1,1,0.835533109,3,0.950623406,2,1,49,0.409587083,29,0.026925188,77,0.199335288,2,0,0,0.524972487,2
d_james_16.txt,0.957706941,1,0.647675635,8,1,9,0.960276221,103,0.219698426,89,0.078334834,184,0.361323383,7,0.98689489,5,0.581360297,6
d_james_17.txt,0,0,0.816440771,4,0,0,0.97790028,58,0.349391805,42,0.057838359,94,0.127060019,2,0.981438297,2,0.892721583,6
d_james_18.txt,0,0,0.404803407,4,0,0,0.986934758,114,0.331240297,61,0.006459666,157,0.443940594,7,0.534205486,1,0.725104131,6
d_james_19.txt,1,2,0.982267442,2,1,2,0.043392178,11,0,13,0.278831171,21,0.86,2,1,1,0,0
d_james_2.txt,1,2,0.137956989,1,0.962632465,2,0.83494848,50,0.167226262,18,0.033518055,64,0.760665012,4,0,0,0.17,1
d_james_20.txt,0,0,0.955437316,12,1,7,0.959414155,155,0.123605929,93,0.009856783,210,0.61,13,0.907449833,3,0.875458937,13
d_james_3.txt,0,0,0.914892001,8,0.811332982,2,0.705549059,94,0.131799987,87,0.077465758,183,0.51881932,10,0.974404396,4,0.599322027,6
d_james_4.txt,1,1,0,0,1,3,0.455718582,27,0.079900984,24,0.785901827,49,0.077786303,1,1,2,0.860635135,3
d_james_5.txt,1,1,0.424933333,2,0.985802151,2,0.961671651,32,0.180812752,24,0.07061054,50,0.546633333,3,1,2,0.253594499,1
d_james_6.txt,1,1,0.573236271,3,1,4,0.856508674,58,0.508693324,38,0.052777641,91,0.42256445,4,1,3,0.773698347,4
d_james_7.txt,0,0,1,7,0.813761283,1,0.971680877,40,0.234664843,29,0.008417925,65,0.679494186,4,1,3,0.603202774,2
d_james_8.txt,1,1,0.073054424,1,0.861801802,2,0.980915113,68,0.536794283,48,0.061546992,108,0.20044044,3,1,4,0.258804094,2
d_james_9.txt,0,0,0.970869281,3,1,2,0.797745858,23,0.026972944,26,0.145728345,47,0,0,1,3,0.74,2
d_monaco_1.txt,0,0,0.957543274,6,0.88354067,1,0.587224417,37,0.128175296,44,0.488660682,80,0.75,7,0.971076262,2,0.882258981,6
d_monaco_10.txt,1,1,0.679851387,4,0.619079981,1,0.973269221,58,0.148454325,52,0.072849788,104,0.879020526,8,1,4,0.683244844,4
d_monaco_11.txt,0,0,0.848247423,3,0,0,0.683088701,35,0.295601008,32,0.138521791,64,0.914278351,7,1,4,0.535406644,2
d_monaco_12.txt,0.963721133,1,0.448345472,5,0.817475154,3,0.957623153,127,0.134951841,70,0.009195731,182,0.688237453,12,0.793669886,2,0.692385085,7
d_monaco_13.txt,1,1,0.121958763,1,0.763782712,1,0.8048247,46,0.395083852,30,0.143153111,71,0.575162569,4,0,0,0.535406644,2
d_monaco_14.txt,0,0,0.506810928,5,0.745940299,2,0.834048756,90,0.116302124,66,0.095660645,132,0.841271341,12,0.536339613,1,0.902440229,11
d_monaco_15.txt,0,0,0.689542533,4,0,0,0.848333158,48,0.059915957,39,0.043133367,80,1,12,0.813584627,1,0,0
d_monaco_16.txt,0,0,0,0,1,6,0.009339528,25,0.435398613,22,0.755132831,44,0.087058405,1,0,0,0.298162338,1
d_monaco_17.txt,0,0,0.802100618,3,0,0,0.986104315,45,0.166680963,28,0.035019038,70,0.707235896,5,0,0,0.495486749,2
