business_id,value,all,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ripCiWZ0MblMZSLrIKQAKA,positive,0.19318181818181818,,0.0,0.2,0.23076923076923078,0.11764705882352941,0.24242424242424243,0.14285714285714285,0.2222222222222222,0.21951219512195122,
ripCiWZ0MblMZSLrIKQAKA,pos_count,176.0,0.0,6.0,10.0,13.0,17.0,33.0,28.0,27.0,41.0,
ripCiWZ0MblMZSLrIKQAKA,negative,0.24864864864864866,0.0,0.3333333333333333,0.5,0.09090909090909091,0.25,0.25,0.2222222222222222,0.20512820512820512,0.2916666666666667,
ripCiWZ0MblMZSLrIKQAKA,neg_count,185.0,1.0,3.0,8.0,11.0,20.0,28.0,27.0,39.0,48.0,
ripCiWZ0MblMZSLrIKQAKA,adj_stars,2.9761306532663316,3.0,3.130434782608696,3.1875,3.014705882352941,2.9876543209876543,3.1,2.9612403100775193,2.8214285714285716,2.9297297297297296,
ripCiWZ0MblMZSLrIKQAKA,stars,2.949771689497717,3.0,3.0833333333333335,3.0526315789473686,3.0416666666666665,2.9204545454545454,3.110344827586207,2.9424460431654675,2.7987012987012987,2.889423076923077,
ripCiWZ0MblMZSLrIKQAKA,total_count,876.0,7.0,24.0,38.0,72.0,88.0,145.0,139.0,154.0,208.0,
uJYw4p59AKh8c8h5yWMdOw,positive,0.1276595744680851,,0.0,0.14285714285714285,0.13333333333333333,0.04918032786885246,0.2537313432835821,0.06779661016949153,0.0425531914893617,0.21153846153846154,
uJYw4p59AKh8c8h5yWMdOw,pos_count,376.0,,10.0,35.0,45.0,61.0,67.0,59.0,47.0,52.0,
uJYw4p59AKh8c8h5yWMdOw,negative,0.32857142857142857,,0.0,0.4444444444444444,0.2857142857142857,0.35,0.3235294117647059,0.19047619047619047,0.34146341463414637,0.35526315789473684,
uJYw4p59AKh8c8h5yWMdOw,neg_count,210.0,,2.0,9.0,7.0,20.0,34.0,21.0,41.0,76.0,
uJYw4p59AKh8c8h5yWMdOw,adj_stars,3.3502392344497607,,3.6842105263157894,3.793103448275862,3.63265306122449,3.477707006369427,3.344155844155844,3.4318181818181817,3.32,2.9278846153846154,
uJYw4p59AKh8c8h5yWMdOw,stars,3.2762478485370052,,3.6842105263157894,3.701492537313433,3.6226415094339623,3.413173652694611,3.318681318681319,3.402173913043478,3.1989528795811517,2.821138211382114,
uJYw4p59AKh8c8h5yWMdOw,total_count,1162.0,,19.0,67.0,106.0,167.0,182.0,184.0,191.0,246.0,
6LM_Klmp3hOP0JmsMCKRqQ,positive,0.16738197424892703,0.0,0.125,0.13333333333333333,0.25,0.06896551724137931,0.10714285714285714,0.08571428571428572,0.2564102564102564,0.22580645161290322,
6LM_Klmp3hOP0JmsMCKRqQ,pos_count,233.0,1.0,8.0,15.0,16.0,29.0,28.0,35.0,39.0,62.0,
6LM_Klmp3hOP0JmsMCKRqQ,negative,0.3695150115473441,0.0,0.3333333333333333,0.3157894736842105,0.375,0.3492063492063492,0.3918918918918919,0.4153846153846154,0.32432432432432434,0.38636363636363635,
6LM_Klmp3hOP0JmsMCKRqQ,neg_count,433.0,1.0,9.0,19.0,40.0,63.0,74.0,65.0,74.0,88.0,
6LM_Klmp3hOP0JmsMCKRqQ,adj_stars,2.8158109209453954,3.210526315789474,2.9565217391304346,2.898550724637681,2.776595744680851,2.6363636363636362,2.7083333333333335,2.860103626943005,2.6926829268292685,2.961937716262976,
6LM_Klmp3hOP0JmsMCKRqQ,stars,2.700561009817672,3.210526315789474,2.88,2.831168831168831,2.690265486725664,2.5089820359281436,2.535,2.690582959641256,2.6276150627615062,2.863501483679525,
6LM_Klmp3hOP0JmsMCKRqQ,total_count,1426.0,19.0,50.0,77.0,113.0,167.0,200.0,223.0,239.0,337.0,
DUdBbrvqfaqUe9GYKmYNtA,positive,0.1918238993710692,0.0,0.5454545454545454,0.10714285714285714,0.19444444444444445,0.14285714285714285,0.208955223880597,0.21739130434782608,0.275,0.09615384615384616,
DUdBbrvqfaqUe9GYKmYNtA,pos_count,318.0,3.0,11.0,28.0,36.0,35.0,67.0,46.0,40.0,52.0,
DUdBbrvqfaqUe9GYKmYNtA,negative,0.30985915492957744,,,0.25,0.0,0.14285714285714285,0.45454545454545453,0.2,0.3888888888888889,0.3157894736842105,
DUdBbrvqfaqUe9GYKmYNtA,neg_count,71.0,0.0,0.0,4.0,2.0,7.0,11.0,10.0,18.0,19.0,
DUdBbrvqfaqUe9GYKmYNtA,adj_stars,3.6330150068212825,4.25,4.25,3.5689655172413794,3.739130434782609,3.8157894736842106,3.6982758620689653,3.5950413223140494,3.514018691588785,3.4746835443037973,
DUdBbrvqfaqUe9GYKmYNtA,stars,3.6348039215686274,4.25,4.3076923076923075,3.5806451612903225,3.776315789473684,3.8292682926829267,3.674074074074074,3.6165413533834587,3.52,3.4319526627218937,
DUdBbrvqfaqUe9GYKmYNtA,total_count,816.0,8.0,26.0,62.0,76.0,82.0,135.0,133.0,125.0,169.0,
u9wjRhUjySkHPa_hG3kFOg,positive,0.31982942430703626,0.5,0.23255813953488372,0.3220338983050847,0.22058823529411764,0.27941176470588236,0.3793103448275862,0.36538461538461536,0.25862068965517243,0.46938775510204084,
u9wjRhUjySkHPa_hG3kFOg,pos_count,469.0,12.0,43.0,59.0,68.0,68.0,58.0,52.0,58.0,49.0,
u9wjRhUjySkHPa_hG3kFOg,negative,0.25882352941176473,,0.5,0.0,0.1,0.2727272727272727,0.2857142857142857,0.25,0.25,0.3157894736842105,
u9wjRhUjySkHPa_hG3kFOg,neg_count,85.0,0.0,4.0,3.0,10.0,11.0,14.0,16.0,8.0,19.0,
u9wjRhUjySkHPa_hG3kFOg,adj_stars,4.129550321199144,4.578947368421052,4.403225806451613,4.3875,3.9160305343511452,4.265486725663717,4.045454545454546,4.093457943925234,4.137254901960785,3.9776119402985075,
u9wjRhUjySkHPa_hG3kFOg,stars,4.159132007233273,4.68,4.391891891891892,4.434343434343434,3.9863945578231292,4.266666666666667,4.063291139240507,4.092307692307692,4.170588235294118,4.0,
u9wjRhUjySkHPa_hG3kFOg,total_count,1106.0,25.0,74.0,99.0,147.0,135.0,158.0,130.0,170.0,163.0,
WIlklz81DcJkUWJThbnJbQ,positive,0.16210526315789472,,,,,0.14035087719298245,0.1595744680851064,0.1452991452991453,0.17647058823529413,0.18095238095238095,
WIlklz81DcJkUWJThbnJbQ,pos_count,475.0,,,,,57.0,94.0,117.0,102.0,105.0,
WIlklz81DcJkUWJThbnJbQ,negative,0.21568627450980393,,,,,0.21428571428571427,0.2222222222222222,0.20833333333333334,0.14285714285714285,0.2608695652173913,
WIlklz81DcJkUWJThbnJbQ,neg_count,102.0,,,,,14.0,27.0,24.0,14.0,23.0,
WIlklz81DcJkUWJThbnJbQ,adj_stars,3.8124267291910905,,,,,3.6979166666666665,3.631868131868132,3.7422680412371134,4.0054945054945055,3.9246231155778895,
WIlklz81DcJkUWJThbnJbQ,stars,3.8256302521008405,,,,,3.7196261682242993,3.6305418719211824,3.75,4.034653465346534,3.9375,
WIlklz81DcJkUWJThbnJbQ,total_count,952.0,,,,,107.0,203.0,216.0,202.0,224.0,
bYhpy9u8fKkGhYHtvYXazQ,positive,0.1619047619047619,0.3333333333333333,0.0,0.16666666666666666,0.1111111111111111,0.1,0.1282051282051282,0.175,0.20833333333333334,0.24324324324324326,
bYhpy9u8fKkGhYHtvYXazQ,pos_count,210.0,3.0,11.0,18.0,18.0,20.0,39.0,40.0,24.0,37.0,
bYhpy9u8fKkGhYHtvYXazQ,negative,0.30666666666666664,1.0,0.5,0.5,0.2,0.5,0.25,0.2777777777777778,0.2571428571428571,0.26666666666666666,
bYhpy9u8fKkGhYHtvYXazQ,neg_count,150.0,1.0,2.0,8.0,5.0,16.0,20.0,18.0,35.0,45.0,
bYhpy9u8fKkGhYHtvYXazQ,adj_stars,3.2480106100795756,3.5,3.7,3.5555555555555554,3.4838709677419355,3.52,3.3125,3.211864406779661,3.1241379310344826,2.9155844155844157,
bYhpy9u8fKkGhYHtvYXazQ,stars,3.199040767386091,3.5,3.619047619047619,3.4754098360655736,3.476923076923077,3.3529411764705883,3.2704918032786887,3.1923076923076925,3.069182389937107,2.9085714285714284,
bYhpy9u8fKkGhYHtvYXazQ,total_count,834.0,14.0,21.0,61.0,65.0,85.0,122.0,130.0,159.0,175.0,
NGJDjdiDJHmN2xxU7KauuA,positive,0.1206896551724138,0.0,0.6,0.15,0.11764705882352941,0.05555555555555555,0.05128205128205128,0.10638297872340426,0.10526315789473684,0.17391304347826086,
NGJDjdiDJHmN2xxU7KauuA,pos_count,232.0,2.0,5.0,20.0,17.0,18.0,39.0,47.0,38.0,46.0,
NGJDjdiDJHmN2xxU7KauuA,negative,0.32441471571906355,0.0,0.0,0.42857142857142855,0.2857142857142857,0.35294117647058826,0.2972972972972973,0.3888888888888889,0.36470588235294116,0.2803738317757009,
NGJDjdiDJHmN2xxU7KauuA,neg_count,299.0,1.0,2.0,7.0,7.0,17.0,37.0,36.0,85.0,107.0,
NGJDjdiDJHmN2xxU7KauuA,adj_stars,2.8968957871396896,3.3333333333333335,2.9285714285714284,3.425,3.2127659574468086,3.0677966101694913,3.0952380952380953,3.173611111111111,2.6443298969072164,2.616,
